Year;Population
1900;1888848
1901;1893941
1902;1911628
1903;1946076
1904;1988742
1905;2040148
1906;2073521
1907;2076437
1908;2057274
1909;2057610
1910;2071257
1911;2084045
1912;2095030
1913;2079156
1914;1945684
1915;1835094
1916;1771491
1917;1744085
1918;1748000
1919;1915470
1920;3879409
1921;3914151
1922;3953920
1923;3918985
1924;3986458
1925;4053532
1926;4125824
1927;4195725
1928;4272375
1929;4328760
1930;4332834
1931;4314466
1932;4273701
1933;4231763
1934;4218332
1935;4226584
1936;4267560
1937;4314432
1938;4347875
1939;4334698
1940;4330810
1941;4383882
1942;4478102
1943;4430204
1944;4361398
1945;2936017
1946;3192399
1947;3271179
1948;3312307
1949;3328193
1950;3336026
1951;3351865
1952;3374178
1953;3367406
1954;3350957
1955;3343182
1956;3345650
1957;3338561
1958;3316353
1959;3290333
1960;3274016
1961;3252691
1962;3235231
1963;3251489
1964;3270959
1965;3274500
1966;3265398
1967;3245325
1968;3225354
1969;3218112
1970;3208719
1971;3172902
1972;3152489
1973;3136776
1974;3118134
1975;3083011
1976;3056973
1977;3044968
1978;3038689
1979;3042504
1980;3048759
1981;3050974
1982;3042612
1983;3040035
1984;3045456
1985;3075670
1986;3115473
1987;3273630
1988;3352848
1989;3409737
1990;3433695
1991;3446031
1992;3465748
1993;3475392
1994;3472009
1995;3471418
1996;3458763
1997;3425759
1998;3398822
1999;3386667
2000;3382169
2001;3388434
2002;3392425
2003;3388477
2004;3387828
2005;3395189
2006;3404037
2007;3416255
2008;3431675
2009;3442675
2010;3460725
2011;3413937
2012;3375222
2013;3415091
2015;3547200
2020;3607910
2025;3638800
2030;3639060
;
;
;
