Year;Population
1900;372229
1901;380518
1902;392882
1903;406420
1904;417480
1905;428722
1906;440376
1907;451134
1908;461891
1909;472649
1910;516527
1911;525671
1912;538302
1913;550540
1914;642848
1916;595853
1917;609244
1919;639055
1920;657175
1921;665629
1922;683363
1923;690605
1924;696168
1925;702850
1926;713633
1927;723753
1928;733075
1929;736914
1930;740082
1931;739726
1932;741283
1933;758127
1934;759648
1935;760422
1936;761263
1937;762154
1938;765468
1939;769248
1940;733500
1941;690000
1942;648200
1943;561600
1944;472900
1945;277262
1946;493098
1947;515355
1948;543765
1949;573557
1950;599112
1951;630232
1952;647540
1953;670031
1954;688765
1955;712561
1956;716114
1957;737991
1958;756203
1959;773280
1960;803616
1961;812895
1962;827659
1963;835832
1964;842061
1965;854479
1966;860200
1967;854717
1968;855886
1969;864754
1970;847695
1971;846479
1972;841537
1973;832396
1974;825792
1975;1013771
1976;981021
1977;976761
1978;976534
1979;976136
1980;976694
1981;971403
1982;961777
1983;940663
1984;922286
1985;916153
1986;914336
1987;929608
1988;937482
1989;946280
1990;953551
1991;956690
1992;960631
1993;962517
1994;963817
1995;965697
1996;964346
1997;964311
1998;962580
1999;962507
2000;962884
2001;967940
2002;968639
2003;965954
2004;969709
2005;983347
2006;989766
2007;995397
2008;995420
2009;998105
2010;1007119
2011;1013665
2012;1024373
2013;1034175
2015;1017560
2020;1026850
2025;1028520
2030;1022910
