Year;Population
1900;705738
1901;725971
1902;739747
1903;754261
1904;776354
1905;802793
1906;830578
1907;856226
1908;881874
1909;907522
1910;931035
1911;946236
1912;1000903
1913;1031480
1916;876833
1917;846055
1919;995103
1920;1026989
1921;1041057
1922;1071924
1923;1066991
1924;1089091
1925;1083088
1926;1101132
1927;1115511
1928;1131599
1929;1145014
1930;1145124
1931;1135317
1932;1123500
1933;1128612
1934;1112195
1935;1101105
1936;1096796
1937;1094715
1938;1689100
1939;1711877
1940;1725500
1944;958247
1945;1177302
1946;1403300
1947;1482639
1948;1518900
1950;1605606
1951;1658038
1952;1687190
1953;1722819
1956;1751289
1961;1836445
1962;1847523
1963;1854637
1964;1857431
1965;1854361
1966;1847267
1967;1832560
1968;1822837
1969;1817122
1970;1793732
1971;1781621
1972;1766214
1973;1751621
1974;1733802
1975;1717383
1976;1698615
1977;1680340
1978;1664305
1979;1653043
1980;1645095
1981;1637132
1982;1623848
1983;1609531
1984;1592447
1985;1579884
1986;1571267
1987;1593480
1988;1603070
1989;1626220
1990;1652363
1991;1668757
1992;1688785
1993;1702887
1994;1705872
1995;1707901
1996;1707986
1997;1704731
1998;1700089
1999;1704735
2000;1715392
2001;1726363
2002;1728806
2003;1734083
2004;1734830
2005;1743627
2006;1754182
2007;1770629
2008;1772100
2009;1774224
2010;1786448
2011;1718187
2012;1734272
2013;1746342
2015;1837310
2020;1873490
2025;1894360
2030;1899980
