Year;Population
1900;499932
1905;538983
1910;596467
1913;640000
1916;594096
1917;595002
1919;630711
1920;666000
1925;680704
1930;728900
1933;735388
1935;743653
1939;829318
1940;834500
1945;612077
1946;751967
1947;773543
1948;801500
1949;814228
1950;827915
1951;855003
1952;873065
1953;889843
1954;908572
1955;929808
1956;960019
1957;986028
1958;1011878
1959;1033854
1960;1055457
1961;1095656
1962;1142622
1963;1166160
1964;1192614
1965;1214603
1966;1235548
1967;1244237
1968;1279405
1969;1326331
1970;1302784
1971;1338432
1972;1338924
1973;1336576
1974;1323434
1975;1314865
1976;1314572
1977;1313939
1978;1296970
1979;1299693
1980;1298941
1981;1291828
1982;1287080
1983;1283457
1984;1267451
1985;1266549
1986;1274716
1987;1193450
1988;1211617
1989;1206683
1990;1229026
1991;1229052
1992;1256638
1993;1255623
1994;1244676
1995;1236370
1996;1225809
1997;1205923
1998;1188897
1999;1194560
2000;1210223
2001;1227958
2002;1234692
2003;1247873
2004;1249176
2005;1259677
2006;1294608
2007;1311573
2008;1326807
2009;1330440
2010;1353186
2011;1356628
2012;1388308
2013;1407836
2015;1419480
2020;1474360
2025;1509690
2030;1526620
