"","Year","Population","city"
"1",1900,372229,"Cologne"
"2",1901,380518,"Cologne"
"3",1902,392882,"Cologne"
"4",1903,406420,"Cologne"
"5",1904,417480,"Cologne"
"6",1905,428722,"Cologne"
"7",1906,440376,"Cologne"
"8",1907,451134,"Cologne"
"9",1908,461891,"Cologne"
"10",1909,472649,"Cologne"
"11",1910,516527,"Cologne"
"12",1911,525671,"Cologne"
"13",1912,538302,"Cologne"
"14",1913,550540,"Cologne"
"15",1914,642848,"Cologne"
"16",1916,595853,"Cologne"
"17",1917,609244,"Cologne"
"18",1919,639055,"Cologne"
"19",1920,657175,"Cologne"
"20",1921,665629,"Cologne"
"21",1922,683363,"Cologne"
"22",1923,690605,"Cologne"
"23",1924,696168,"Cologne"
"24",1925,702850,"Cologne"
"25",1926,713633,"Cologne"
"26",1927,723753,"Cologne"
"27",1928,733075,"Cologne"
"28",1929,736914,"Cologne"
"29",1930,740082,"Cologne"
"30",1931,739726,"Cologne"
"31",1932,741283,"Cologne"
"32",1933,758127,"Cologne"
"33",1934,759648,"Cologne"
"34",1935,760422,"Cologne"
"35",1936,761263,"Cologne"
"36",1937,762154,"Cologne"
"37",1938,765468,"Cologne"
"38",1939,769248,"Cologne"
"39",1940,733500,"Cologne"
"40",1941,690000,"Cologne"
"41",1942,648200,"Cologne"
"42",1943,561600,"Cologne"
"43",1944,472900,"Cologne"
"44",1945,277262,"Cologne"
"45",1946,493098,"Cologne"
"46",1947,515355,"Cologne"
"47",1948,543765,"Cologne"
"48",1949,573557,"Cologne"
"49",1950,599112,"Cologne"
"50",1951,630232,"Cologne"
"51",1952,647540,"Cologne"
"52",1953,670031,"Cologne"
"53",1954,688765,"Cologne"
"54",1955,712561,"Cologne"
"55",1956,716114,"Cologne"
"56",1957,737991,"Cologne"
"57",1958,756203,"Cologne"
"58",1959,773280,"Cologne"
"59",1960,803616,"Cologne"
"60",1961,812895,"Cologne"
"61",1962,827659,"Cologne"
"62",1963,835832,"Cologne"
"63",1964,842061,"Cologne"
"64",1965,854479,"Cologne"
"65",1966,860200,"Cologne"
"66",1967,854717,"Cologne"
"67",1968,855886,"Cologne"
"68",1969,864754,"Cologne"
"69",1970,847695,"Cologne"
"70",1971,846479,"Cologne"
"71",1972,841537,"Cologne"
"72",1973,832396,"Cologne"
"73",1974,825792,"Cologne"
"74",1975,1013771,"Cologne"
"75",1976,981021,"Cologne"
"76",1977,976761,"Cologne"
"77",1978,976534,"Cologne"
"78",1979,976136,"Cologne"
"79",1980,976694,"Cologne"
"80",1981,971403,"Cologne"
"81",1982,961777,"Cologne"
"82",1983,940663,"Cologne"
"83",1984,922286,"Cologne"
"84",1985,916153,"Cologne"
"85",1986,914336,"Cologne"
"86",1987,929608,"Cologne"
"87",1988,937482,"Cologne"
"88",1989,946280,"Cologne"
"89",1990,953551,"Cologne"
"90",1991,956690,"Cologne"
"91",1992,960631,"Cologne"
"92",1993,962517,"Cologne"
"93",1994,963817,"Cologne"
"94",1995,965697,"Cologne"
"95",1996,964346,"Cologne"
"96",1997,964311,"Cologne"
"97",1998,962580,"Cologne"
"98",1999,962507,"Cologne"
"99",2000,962884,"Cologne"
"100",2001,967940,"Cologne"
"101",2002,968639,"Cologne"
"102",2003,965954,"Cologne"
"103",2004,969709,"Cologne"
"104",2005,983347,"Cologne"
"105",2006,989766,"Cologne"
"106",2007,995397,"Cologne"
"107",2008,995420,"Cologne"
"108",2009,998105,"Cologne"
"109",2010,1007119,"Cologne"
"110",2011,1013665,"Cologne"
"111",2012,1024373,"Cologne"
"112",2013,1034175,"Cologne"
"113",2015,1017560,"Cologne"
"114",2020,1026850,"Cologne"
"115",2025,1028520,"Cologne"
"116",2030,1022910,"Cologne"
"117",1900,1888848,"Berlin"
"118",1901,1893941,"Berlin"
"119",1902,1911628,"Berlin"
"120",1903,1946076,"Berlin"
"121",1904,1988742,"Berlin"
"122",1905,2040148,"Berlin"
"123",1906,2073521,"Berlin"
"124",1907,2076437,"Berlin"
"125",1908,2057274,"Berlin"
"126",1909,2057610,"Berlin"
"127",1910,2071257,"Berlin"
"128",1911,2084045,"Berlin"
"129",1912,2095030,"Berlin"
"130",1913,2079156,"Berlin"
"131",1914,1945684,"Berlin"
"132",1915,1835094,"Berlin"
"133",1916,1771491,"Berlin"
"134",1917,1744085,"Berlin"
"135",1918,1748000,"Berlin"
"136",1919,1915470,"Berlin"
"137",1920,3879409,"Berlin"
"138",1921,3914151,"Berlin"
"139",1922,3953920,"Berlin"
"140",1923,3918985,"Berlin"
"141",1924,3986458,"Berlin"
"142",1925,4053532,"Berlin"
"143",1926,4125824,"Berlin"
"144",1927,4195725,"Berlin"
"145",1928,4272375,"Berlin"
"146",1929,4328760,"Berlin"
"147",1930,4332834,"Berlin"
"148",1931,4314466,"Berlin"
"149",1932,4273701,"Berlin"
"150",1933,4231763,"Berlin"
"151",1934,4218332,"Berlin"
"152",1935,4226584,"Berlin"
"153",1936,4267560,"Berlin"
"154",1937,4314432,"Berlin"
"155",1938,4347875,"Berlin"
"156",1939,4334698,"Berlin"
"157",1940,4330810,"Berlin"
"158",1941,4383882,"Berlin"
"159",1942,4478102,"Berlin"
"160",1943,4430204,"Berlin"
"161",1944,4361398,"Berlin"
"162",1945,2936017,"Berlin"
"163",1946,3192399,"Berlin"
"164",1947,3271179,"Berlin"
"165",1948,3312307,"Berlin"
"166",1949,3328193,"Berlin"
"167",1950,3336026,"Berlin"
"168",1951,3351865,"Berlin"
"169",1952,3374178,"Berlin"
"170",1953,3367406,"Berlin"
"171",1954,3350957,"Berlin"
"172",1955,3343182,"Berlin"
"173",1956,3345650,"Berlin"
"174",1957,3338561,"Berlin"
"175",1958,3316353,"Berlin"
"176",1959,3290333,"Berlin"
"177",1960,3274016,"Berlin"
"178",1961,3252691,"Berlin"
"179",1962,3235231,"Berlin"
"180",1963,3251489,"Berlin"
"181",1964,3270959,"Berlin"
"182",1965,3274500,"Berlin"
"183",1966,3265398,"Berlin"
"184",1967,3245325,"Berlin"
"185",1968,3225354,"Berlin"
"186",1969,3218112,"Berlin"
"187",1970,3208719,"Berlin"
"188",1971,3172902,"Berlin"
"189",1972,3152489,"Berlin"
"190",1973,3136776,"Berlin"
